(﹁じ)/る/ら,–ら筿祇布秨ミ计秖,筿祇布–ら更ㄣ筿祇布ㄏノ计秖,筿祇布–ら秘计秖,稲み絏–ら筿祇布ぇ秘计秖,呼潦穨–ら筿祇布秨ミ计秖
2015/8/30,"11,433,131","930,557","61,408","60,436","3,285"
2015/8/31,"13,228,657","1,117,156","64,577","63,331",20
2015/9/1,"15,115,085","1,493,987","121,346","119,033","2,024"
2015/9/2,"13,945,797","1,375,079","100,358","98,848","1,445"
2015/9/3,"12,138,465","1,256,121","89,090","87,550",935
2015/9/4,"15,171,443","1,567,258","79,198","77,284","2,318"
2015/9/5,"13,947,763","1,112,425","68,573","67,374",13
2015/9/6,"14,286,682","1,101,254","78,878","77,713","2,045"
2015/9/7,"13,965,740","1,143,805","75,339","74,069",916
2015/9/8,"13,461,179","1,531,264","109,138","107,583","1,967"
2015/9/9,"13,163,566","1,371,142","81,200","79,542","16,206"
2015/9/10,"14,265,700","1,300,623","94,740","93,212",816
2015/9/11,"13,750,993","1,446,673","90,740","88,814","2,354"
2015/9/12,"13,899,272","1,182,930","74,311","73,208",28
2015/9/13,"13,485,412","1,009,386","56,476","55,453","1,558"
2015/9/14,"14,657,924","1,407,161","75,570","73,926",660
2015/9/15,"14,684,066","1,414,023","89,512","87,802","1,854"
2015/9/16,"13,818,879","1,391,773","79,540","78,076","1,721"
2015/9/17,"14,992,874","1,368,076","86,213","84,514","1,293"
2015/9/18,"13,663,578","1,368,665","91,808","90,120","1,684"
2015/9/19,"13,731,072","1,156,968","73,338","71,986",14
2015/9/20,"13,617,297","1,023,479","56,189","54,856",983
2015/9/21,"14,208,338","1,257,367","79,791","78,516","1,265"
2015/9/22,"13,749,807","1,471,540","84,944","83,284","1,046"
2015/9/23,"13,690,349","1,330,525","80,980","79,271",728
2015/9/24,"14,553,274","1,419,683","88,951","87,224","2,530"
2015/9/25,"14,107,143","1,341,749","85,598","83,856",947
2015/9/26,"14,477,111","1,151,227","70,392","69,034",27
2015/9/27,"13,104,346","944,985","55,757","54,641",5
2015/9/28,"11,281,521","823,660","45,716","44,854",9
2015/9/29,"11,596,918","915,736","49,291","48,477",3
2015/9/30,"13,892,486","1,388,714","79,794","78,320",21
2015/10/1,"15,060,125","1,630,187","111,238","108,456","1,901"
2015/10/2,"14,375,518","1,354,446","88,357","86,057","1,352"
2015/10/3,"14,492,594","1,208,410","74,964","73,475","1,505"
2015/10/4,"14,441,810","1,195,194","58,580","57,505",300
2015/10/5,"14,403,016","1,268,771","69,150","67,286",24
2015/10/6,"15,049,513","1,685,653","91,800","89,089","1,499"
2015/10/7,"14,127,835","1,390,792","82,575","80,852","2,203"
2015/10/8,"14,470,491","1,581,309","93,042","91,075","1,813"
2015/10/9,"13,440,842","1,127,882","76,259","75,102",465
2015/10/10,"13,650,267","1,039,748","64,867","63,846",505
2015/10/11,"13,616,471","1,001,275","52,145","51,195",357
2015/10/12,"14,814,257","1,326,905","74,758","73,312",16
2015/10/13,"13,777,869","1,477,326","87,255","85,097","2,761"
